相似字形,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞
們 門 聞 開 問 間,問候,請問,中間,有間木屋,不開口,我們,他們,動物們,小鳥們,你們,快走開,聞聞香氣,開心,打開,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果 課 棵,上課,下課,蘋果,一󠇢棵樹,課本,水果,如果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子 了 好,上課了,別忘了,老師好,杏子󠇡,橘子󠇡,桃子󠇡,李子󠇡,幾歲了,考了幾分,不好了,少了一󠇢頭驢,走累了,好了,椅子󠇡,飛上天了,氣球碰到月亮了,氣球破了,正好,正好,種子,快樂的,日子󠇡,買了氣球,月亮咬了氣球一󠇢口,照亮了,過年了,失火了,大火燒了一󠇡個󠇡月,燒光了,沒有家了,不能出去了,下星期就是我的生日了,好了沒,已經有成千上萬顆人造衛星了,花生米拿出來了,開心地笑了,再忘了要怎麼辦呢,早上好,生長󠇡得󠇡很好,很好,玩沙子󠇡,小孩子󠇡,房子󠇡,小石子󠇡,烏雲來了,下雨了,輸了就要跟我走,好的,好朋友,好玩,真好看,稻子󠇡,餃子󠇡,猴子󠇡,肚子󠇡,沒有什麼了󠇡不起,大家就有飯吃了,過了四個󠇡月,收成了許多稻米,煮了一󠇡大鍋香噴噴的飯,好好吃飯,好人,都好吃,超好笑的,好好吃喔,怎麼好意思󠇢來吃呢,說好話做好事,好心的人,鼻子󠇡,竹子󠇡,怎麼不󠇡見了,今天下雨了,我帶了傘,可能要下雨了,想好念,你好,大家好,好暖和󠇤,好痛,鏡子󠇡,筷子󠇡,刀子󠇡,桌子󠇡,瓶子󠇡,他爬上了桌子󠇡,抓了一󠇡大把花生米,明白了一󠇡件事,更好看,好東西󠇡,跳得󠇡好不好,他來不及餵小狗就上學了,剛好
手 毛,握手,洗手,手機,手指頭󠇡,左右手,手足,拍手,雙手,一󠇢隻手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左 在,在哪裡,在這裡,不󠇡在家,停在月球,撒在地上,照在地上,雨下在花上,坐在窗前,在電視上,種󠇡在田裡,在中間,掉在床上,就在公園,站在田邊,正在聊天,在舊金山,在紐約,在台北,在上海,住在上面,現在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
右 有 友,有幾隻,有幾天,有七天,朋友,有幾個󠇡月,有什麼,有兩個󠇡,有一󠇢本書,有十個󠇡,有用,也有,有一󠇢天,小朋友,有間,有個󠇡,還有,有時候,沒有家了,有多少錢,有八十八元,有十億,好朋友,這裡有,有一󠇢堆種子,有飯吃了,沒有來,有好心情,只有,還會有,都會有,沒有用,有沒有,已經有,能有,大概有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
右 又,又少了,又數󠇡一󠇢數󠇡,又是風雨,又畫了花,又搬回去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我 找,找老虎,找不󠇡到,我六歲,我考一󠇢百分,給我,我們的,我想去,跟我走,我會,我討厭,我家,我喜歡吃,我愛吃,我都喜歡,我和󠇡你,我不能看見,我的姊姊󠇡,我會畫,我帶了傘,我來保護你,找到,我看你,我走了,我也要,我可以,交給我,我以後,我忘了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千 十,十頭驢,十分鐘,一󠇢千元,十二個󠇡月,八十八,十億,成千上萬,十幾萬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大 太 天 木,大步走,木瓜,有一󠇢天,飛上天,大風雨,很大,大家,一󠇡大瓶水,抓一󠇡大把,天上,今天,天天,每天,天氣,聊天,小木屋,木頭󠇡,樹木,太陽,明天,下雨天,雨天,力量大,太少,太陽能,那天,星期天,大白鵝,一󠇡大鍋,晴天,陰天,下雪天,大家好,大叫,一󠇢頭大象,大哭,太空,大概,偉大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小 少,小松鼠,少了一󠇢頭驢,小孩,小學,小番茄,小豬,小木屋,小星星,小紅花,小鳥們,一󠇢小塊,多少,太少,很少,多少塊巧克力,多少錢,至少有十億,十億是多少呀󠇡,少拿一󠇢點花生米,小白米,小花貓,小雞,小心,小狗,小嘴巴󠇡,小鴨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人 八 入,八點鐘,八月,說中文的人,農人,大人,好人,讓人開心,別人,快樂的人,雪人,人造衛星,人在哪裡,喜歡的人,中國人,工人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同 回 口 洞,怎麼一󠇢回事,搬回去,不開口,口水,口香糖,咬了一󠇢口,山洞,洞口,回去,口說好話,不同的地方,回來,同學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白 日 自 百 口 目 田 苗,一󠇢百元,一󠇢百五十年前,自己,口水,口香糖,不開口,咬了一󠇢口,生日,日子󠇡,星期日,白花,白雲,白紙,白宮,白米,白鵝,種󠇡田,玉米田,梯田,種󠇡在田裡,在田邊上玩,白茫茫,口說好話,目光,題目,明白,兩百多人,禾苗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
說 話 語,你說稀奇不稀奇,說聲老師好,聰明的烏鴉說,他們說,說中󠇡文的人,好話,說得󠇡更清楚,笑話,打電話,視頻通話,聽說,語言,語氣不好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歌 奇 椅,稀奇,好󠇡奇,椅子󠇡,座椅,唱歌,歌手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沒 投,沒錯,沒有家了,沒有什麼,沒關係,沒有用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
木 本 林 森,一󠇢本書,木瓜,課本,中文課本,小木屋,木頭󠇡,花草樹木,森林,樹林,森林,這位是林友友,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
也 她 他 地 它,他騎上一󠇢頭驢,他自己的床上,也有,我也起得󠇡早,也是,也許,也去給外公外婆拜年,外公外婆也給我紅包,風也來幫忙,土地,地球,我們要愛護它(森林),草地上,地方,隨時隨地,它讓我們看見自己,大家都喜歡她(姊姊󠇡),她是我媽媽󠇡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雙 隻,松鼠有幾隻,雙手,一󠇢隻貓,一󠇢隻手,這隻狗,一󠇢隻老鼠,一󠇢雙筷子󠇡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月 明 朋 用,五月,朋友,月亮,幾個󠇡月,小朋友,用力,有用,月亮用尖尖的牙齒咬氣球,用手指畫足球,用手機打電話,月球,聰明,我明白了,明天,好朋友,沒有用,用它試試,交朋友,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左 在 右 有 友,左手,左邊,往左,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
左 右 有 友,在右,右手,右邊,往右,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
是 最,就是,是什麼,最後,是圓圓的,是彎彎的,也是,誰最早來,可是,不󠇡是,還是,這裡是,是啊,最沒有用,總是,真是,是的,這是怎麼了,加起來是多少,什麼是朋友,可能是,或是,是呀󠇡,這位是我爸爸󠇡,是不󠇡是,是嗎,又是你,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽 嗎,在家嗎,可以遲到嗎,你會發電嗎,明天還會下雨嗎,可以坐下來吃嗎,要說好話嗎,重要嗎,你想和󠇡我一󠇢起玩嗎,是嗎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
把 吧 巴 爬,嘴巴󠇡,尾巴󠇡,一󠇢把椅子󠇡,把森林燒光了,把種子撒在地上,把種子埋進土裡,把陽光照在地上,把手,伸進去抓了一󠇡大把,爬山,爬上桌子󠇡,來種󠇡樹吧,就像天上星星那麼多吧,把它種󠇡在田裡,一󠇢把刀,一󠇢起去玩吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
跟 根 很 眼 腿,很大,很尖,眼睛,雙眼,四條腿,腿毛,很快樂,很好,很多,很少,很好玩,跟我走,跟上來,很辛苦,很滑稽,一󠇢根草,根本沒有什麼,很高興󠇡認識你,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青 情 晴 清 睛 猜 請,眼睛,火眼金睛(西遊記孫悟空),請你明天再來,猜拳,猜猜看,請珍惜,好心情友情,晴天,晴時多雲,青蛙,青菜,清楚,清水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
坐 座,坐下來,坐在窗前,坐著看電視,坐車,坐火箭到太空,座位,座椅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
力 刀,用力,力氣,巧克力,力量大,風力發電,剪刀,一󠇢把刀,刀子󠇡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲 雪 電,烏雲,白雲,發電,電視,雪地,雪人,下雪,打電話,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圓 園 國,圓圓的,圓球,美國,山頂,花園,公園,中國,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重 種 動,動物們,動作,種󠇡樹,種子,種󠇡田,哪一󠇢種,各種,種󠇡在田裡,重要嗎,重󠇡回以前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陽 場 踢,太陽,陽光,太陽能,踢足球,踢球,在操場上跑步,場地很大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
紅 虹 江,紅花,紅綠燈,紅包,彩虹,紅雞媽媽󠇡,你好，我姓江,長江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化 花,紅花,花草樹木,花園,爆米花,化石,小花貓,梅花,融化,花生米,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
午 牛 年 生,生日,生氣,生病,生長󠇡得󠇡很好,生火烤肉,花生米,男生,女生,學生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雪 電 雲,烏雲,風力發電,水力發電,太陽能發電,給家家戶戶發電,白雲,電視,雪人,雪地,下雪天,電話,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
右 石,石頭󠇡,化石,小石子󠇡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩 雨,下雨,雨傘,雨衣,大雨,下雨天,又是雨,兩百多人,兩天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比 北 些,一󠇢些小石子󠇡,台北,北方,那些,比賽,比一󠇢比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
立 拉 位 啦 粒,一󠇡粒米,飯粒,沙拉,拉肚子󠇡,當然啦,單位,座位,一󠇡位,立刻,立正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
